"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6080","Test 1 Blank Delivery details for user : standard_user","webkit","Tue Apr 08 01:56:52 IST 2025","passed","Tue Apr 08 01:56:58 IST 2025","Blank Delivery Details","dashboard.spec.ts","",""
"","4047","Test 1 Blank Delivery details for user : standard_user","firefox","Tue Apr 08 01:56:41 IST 2025","passed","Tue Apr 08 01:56:46 IST 2025","Blank Delivery Details","dashboard.spec.ts","",""
"","1726","Test 2 for user : Leonard","firefox","Tue Apr 08 01:57:59 IST 2025","passed","Tue Apr 08 01:58:00 IST 2025","Login and Checkout Tests","login.spec.ts","",""
"","945","Test 2 for user : Leonard","webkit","Tue Apr 08 01:58:13 IST 2025","passed","Tue Apr 08 01:58:14 IST 2025","Login and Checkout Tests","login.spec.ts","",""
"","5794","get started link","webkit","Mon Apr 07 20:05:13 IST 2025","passed","Mon Apr 07 20:05:19 IST 2025","","example.spec.ts","",""
"","5507","has title","firefox","Mon Apr 07 20:05:13 IST 2025","passed","Mon Apr 07 20:05:18 IST 2025","","example.spec.ts","",""
"","2489","Test 2 Blank Delivery details for user : standard_user","chromium","Tue Apr 08 01:56:38 IST 2025","passed","Tue Apr 08 01:56:41 IST 2025","Blank Delivery Details","dashboard.spec.ts","",""
"","3054","Test 2 Blank Delivery details for user : standard_user","firefox","Tue Apr 08 01:56:46 IST 2025","passed","Tue Apr 08 01:56:49 IST 2025","Blank Delivery Details","dashboard.spec.ts","",""
"","5758","Test 2 Blank Delivery details for user : standard_user","webkit","Tue Apr 08 01:56:58 IST 2025","passed","Tue Apr 08 01:57:03 IST 2025","Blank Delivery Details","dashboard.spec.ts","",""
"","6417","Test 1 for user : standard_user","webkit","Tue Apr 08 01:58:06 IST 2025","passed","Tue Apr 08 01:58:13 IST 2025","Login and Checkout Tests","login.spec.ts","",""
"","682","Test 2 for user : Leonard","chromium","Tue Apr 08 01:57:51 IST 2025","passed","Tue Apr 08 01:57:51 IST 2025","Login and Checkout Tests","login.spec.ts","",""
"","9635","has title","chromium","Mon Apr 07 20:05:13 IST 2025","passed","Mon Apr 07 20:05:23 IST 2025","","example.spec.ts","",""
"","10376","get started link","chromium","Mon Apr 07 20:05:13 IST 2025","passed","Mon Apr 07 20:05:23 IST 2025","","example.spec.ts","",""
"","6533","get started link","firefox","Mon Apr 07 20:05:13 IST 2025","passed","Mon Apr 07 20:05:19 IST 2025","","example.spec.ts","",""
"","3577","has title","webkit","Mon Apr 07 20:05:13 IST 2025","passed","Mon Apr 07 20:05:17 IST 2025","","example.spec.ts","",""
"","2741","Test 1 for user : standard_user","chromium","Tue Apr 08 01:57:48 IST 2025","passed","Tue Apr 08 01:57:50 IST 2025","Login and Checkout Tests","login.spec.ts","",""
"","5507","Test 1 for user : standard_user","firefox","Tue Apr 08 01:57:52 IST 2025","passed","Tue Apr 08 01:57:58 IST 2025","Login and Checkout Tests","login.spec.ts","",""
"","10410","Test 1 Blank Delivery details for user : standard_user","chromium","Tue Apr 08 01:56:28 IST 2025","passed","Tue Apr 08 01:56:38 IST 2025","Blank Delivery Details","dashboard.spec.ts","",""
